SBD,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?,Mã NN,,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?
35000289,6.6,6.25,5.75,5,-1,-1,-1,6.5,3,N1,,,,,,,,,,
35000290,7.6,7.25,7.75,4.25,-1,-1,-1,6.5,3.4,N1,,,,,,,,,,
35000291,9.2,6.25,7.25,5,-1,-1,-1,5.5,3.8,N1,,,,,,,,,,
35000292,7.6,-1,-1,-1,8,7.75,7.75,8.25,7.4,N1,,,,,,,,,,
35000293,7.6,5.75,8,3.5,-1,-1,-1,6.25,3.8,N1,,,,,,,,,,
35000294,5,7,6.5,4.25,-1,-1,-1,5.75,3.4,N1,,,,,,,,,,
35000295,6,-1,-1,-1,5.75,6.25,7.75,7.5,3.2,N1,,,,,,,,,,
35000296,7.2,6.25,6.75,4,-1,-1,-1,7,3.4,N1,,,,,,,,,,
35000297,4.8,-1,-1,-1,3.75,7.25,-1,6,-1,none,,,,,,,,,,
35000298,7.6,5,5.5,3.75,-1,-1,-1,6,4.8,N1,,,,,,,,,,
35000299,5,-1,-1,-1,4.25,6.25,-1,7,-1,none,,,,,,,,,,
35000300,9,7.75,8.25,5,-1,-1,-1,6.5,6.8,N1,,,,,,,,,,
35000301,5.6,-1,-1,-1,5.5,5.5,6.25,5.75,3.4,N1,,,,,,,,,,
35000302,7.4,7.5,7.5,3.75,-1,-1,-1,6.5,5,N1,,,,,,,,,,
35000303,5.4,-1,-1,-1,7,8.25,7.5,6.5,2.2,N1,,,,,,,,,,
35000304,6.6,-1,-1,-1,6.25,7.75,9.25,7,4.6,N1,,,,,,,,,,
35000305,7.2,6.75,7,3.5,-1,-1,-1,6.75,3.8,N1,,,,,,,,,,
35000306,5.2,-1,-1,-1,4.25,5.25,7.75,7.5,3.4,N1,,,,,,,,,,
35000307,7,-1,-1,-1,5.5,5.75,8.25,7.25,4,N1,,,,,,,,,,
35000308,7.2,5,4.5,3.75,-1,-1,-1,7.5,4.6,N1,,,,,,,,,,
35000309,8.2,8.25,8.25,3.75,-1,-1,-1,7.75,5,N1,,,,,,,,,,
35000310,7.4,6.5,5.75,3,-1,-1,-1,7.25,4,N1,,,,,,,,,,
35000311,3.4,-1,-1,-1,5.25,6,7.25,7,4,N1,,,,,,,,,,
35000312,6.4,-1,-1,-1,5,6,7.5,8.5,6.4,N1,,,,,,,,,,
35000313,5.4,-1,-1,-1,4,6.5,7.25,4.1,3.6,N1,,,,,,,,,,
35000314,6.8,-1,-1,-1,6.25,6.75,8.25,8,5.2,N1,,,,,,,,,,
35000315,3.8,-1,-1,-1,5.5,6.5,8,6,3,N1,,,,,,,,,,
35000316,5.8,-1,-1,-1,4,5.5,6.5,7.5,4,N1,,,,,,,,,,
35000317,7.2,7,7.75,2.75,-1,-1,-1,5.25,4.8,N1,,,,,,,,,,
35000318,7,-1,-1,-1,6,5.75,6.5,7,5.4,N1,,,,,,,,,,
35000319,8.2,8,7,3.75,-1,-1,-1,6.25,5.2,N1,,,,,,,,,,
35000320,8.4,7.75,7.25,5.25,-1,-1,-1,7.75,8.8,N1,,,,,,,,,,
35000321,8,4.25,6,3.5,-1,-1,-1,7,6.6,N1,,,,,,,,,,
35000322,8,-1,-1,-1,7.75,6.75,8.5,9,8.8,N1,,,,,,,,,,
35000323,6.6,-1,-1,-1,3.5,4.75,4.25,6.75,4.6,N1,,,,,,,,,,
35000324,7.8,6.5,6,4,-1,-1,-1,8.25,5.2,N1,,,,,,,,,,
35000325,6.4,-1,-1,-1,6.75,5.75,6.5,4.75,4.4,N1,,,,,,,,,,
35000326,7,-1,-1,-1,9,6.75,8.25,6.25,3.2,N1,,,,,,,,,,
35000327,8,7.75,7,4.25,-1,-1,-1,7.5,2.8,N1,,,,,,,,,,
35000328,4.4,-1,-1,-1,3.5,5,-1,4.25,-1,none,,,,,,,,,,
35000329,4.4,-1,-1,-1,3,4.75,5,6.25,4.2,N1,,,,,,,,,,
35000330,5,-1,-1,-1,5.5,5.75,7.25,8,3.4,N1,,,,,,,,,,
35000331,5.8,-1,-1,-1,3,5.75,6,6.75,4.4,N1,,,,,,,,,,
35000332,6,-1,-1,-1,3.25,5.5,8,7.25,4,N1,,,,,,,,,,
35000333,3.4,-1,-1,-1,2.75,6,-1,4.5,-1,none,,,,,,,,,,
35000334,5.8,-1,-1,-1,5,6.25,7.25,8,4.6,N1,,,,,,,,,,
35000335,4.4,-1,-1,-1,3.5,7.25,-1,8,-1,none,,,,,,,,,,
35000336,7,-1,-1,-1,3.5,6.5,6.75,5,3.2,N1,,,,,,,,,,
35000337,9.2,8.5,7,4,-1,-1,-1,6.25,4,N1,,,,,,,,,,
35000338,5,-1,-1,-1,2.75,6.5,-1,3,-1,none,,,,,,,,,,
35000339,4.2,-1,-1,-1,4.5,7.25,7,5.75,2,N1,,,,,,,,,,
35000340,6.8,6,5.75,3.5,-1,-1,-1,6,4.4,N1,,,,,,,,,,
35000341,7.6,5.25,6.75,3.75,-1,-1,-1,5.5,3.4,N1,,,,,,,,,,
35000342,7.6,-1,-1,-1,7.75,6.5,8,6.25,6.6,N1,,,,,,,,,,
35000343,8.6,6.5,7.5,2.25,-1,-1,-1,8.5,3.6,N1,,,,,,,,,,
35000344,7.2,-1,-1,-1,6.25,5,5.75,7.25,2.6,N1,,,,,,,,,,
35000345,7.8,-1,-1,-1,7.75,7.25,9,7.75,5.6,N1,,,,,,,,,,
35000346,8.4,8,7.5,4.5,-1,-1,-1,6.5,3.6,N1,,,,,,,,,,
35000347,8.4,8.75,7.5,3.25,-1,-1,-1,6.75,3,N1,,,,,,,,,,
35000348,8.4,6.5,7.5,4,-1,-1,-1,7,3.6,N1,,,,,,,,,,
35000349,7.4,8,8.25,4.5,-1,-1,-1,6.25,4.2,N1,,,,,,,,,,
35000350,8.2,8.5,8.25,4.75,-1,-1,-1,7,6.2,N1,,,,,,,,,,
35000351,8,8.5,6.5,5.25,-1,-1,-1,6.75,4.8,N1,,,,,,,,,,
35000352,8.8,-1,-1,-1,5,6.5,8.25,8.5,8.8,N1,,,,,,,,,,
35000353,7.6,6.25,7.75,3.5,-1,-1,-1,8,7.4,N1,,,,,,,,,,
35000354,7.6,-1,-1,-1,3.25,5.25,6.75,8.25,4.6,N1,,,,,,,,,,
35000355,8.4,7.5,6.5,3,-1,-1,-1,6.25,4.2,N1,,,,,,,,,,
35000356,8.4,5.75,9.5,8.5,-1,-1,-1,6.75,5.2,N1,,,,,,,,,,
35000357,7.4,4,6.5,3.75,-1,-1,-1,7.75,5.4,N1,,,,,,,,,,
35000358,6.6,-1,-1,-1,4,5.75,5.75,6.5,4.2,N1,,,,,,,,,,
35000359,8,8,9,4,-1,-1,-1,6.75,4.6,N1,,,,,,,,,,
35000360,8.4,9.25,7.25,4,-1,-1,-1,6.75,8,N1,,,,,,,,,,
35000361,5.8,-1,-1,-1,5.5,6.5,9,7.5,3.8,N1,,,,,,,,,,
35000362,8.4,-1,-1,-1,6.75,7,7.75,8.75,4,N1,,,,,,,,,,
35000363,6.8,3,4.25,5.75,-1,-1,-1,6,2.8,N1,,,,,,,,,,
35000364,5.4,-1,-1,-1,6,7.25,7,9,4.4,N1,,,,,,,,,,
35000365,-1,-1,-1,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35000366,7.8,-1,-1,-1,7,5.75,8.75,9,7,N1,,,,,,,,,,
35000367,6.6,-1,-1,-1,5.5,7,7.75,6.75,3.4,N1,,,,,,,,,,
35000368,8.2,8.25,8,4.5,-1,-1,-1,7,5.2,N1,,,,,,,,,,
35000369,4.6,-1,-1,-1,7,5.75,7.75,6,4.8,N1,,,,,,,,,,
35000370,7.6,7.25,8,3.25,-1,-1,-1,6.75,5,N1,,,,,,,,,,
35000371,5.8,-1,-1,-1,4.25,4.75,7.5,6.25,3.6,N1,,,,,,,,,,
35000372,6.6,-1,-1,-1,6.25,5.5,7.5,8.5,8,N1,,,,,,,,,,
35000373,9,6.75,9,7.25,-1,-1,-1,7.5,6.4,N1,,,,,,,,,,
35000374,6,-1,-1,-1,6,6.25,5.75,6,4.4,N1,,,,,,,,,,
35000375,7.2,5.5,4,3.75,-1,-1,-1,5.75,-1,none,,,,,,,,,,
35000376,7.4,6.75,7.75,4.75,-1,-1,-1,7.75,5.6,N1,,,,,,,,,,
35000377,8.8,8.75,9,6.25,-1,-1,-1,7.5,5,N1,,,,,,,,,,
35000378,7.4,7.5,7,4.5,-1,-1,-1,6,3.8,N1,,,,,,,,,,
35000379,8,8.75,8.25,5.5,-1,-1,-1,7,2.8,N1,,,,,,,,,,
35000380,4.8,-1,-1,-1,2.75,6.25,7.25,4.25,2.8,N1,,,,,,,,,,
35000381,6.8,-1,-1,-1,6.25,6.75,7,8.25,2.6,N1,,,,,,,,,,
35000382,7.6,-1,-1,-1,7.25,5.75,6.5,7.25,5.8,N1,,,,,,,,,,
35000383,7,-1,-1,-1,8.75,8.25,8.75,8.5,4.2,N1,,,,,,,,,,
35000384,7.8,-1,-1,-1,6,5.75,8.25,5.75,4.6,N1,,,,,,,,,,
35000385,6.6,-1,-1,-1,7.5,7.5,5.5,7.25,4.4,N1,,,,,,,,,,
35000386,7.2,-1,-1,-1,6.75,7.25,7.5,6,4.6,N1,,,,,,,,,,
35000387,7.6,7.25,7.75,3.5,-1,-1,-1,6.5,6,N1,,,,,,,,,,
35000388,7.6,-1,-1,-1,4.5,6.5,7.25,8.75,5.6,N1,,,,,,,,,,
35000389,8,-1,-1,-1,7.25,8,8.5,8.5,7.8,N1,,,,,,,,,,
35000390,6.8,-1,-1,-1,5,5.5,7.75,8.25,5,N1,,,,,,,,,,
35000391,7.8,-1,-1,-1,7,6.5,7.75,8.25,6.2,N1,,,,,,,,,,
35000392,7,8,7.75,4.25,-1,-1,-1,6.5,3.4,N1,,,,,,,,,,
35000393,5,-1,-1,-1,3.5,6.25,-1,6.5,-1,none,,,,,,,,,,
35000394,8,7.25,8.5,6,-1,-1,-1,6.25,5.8,N1,,,,,,,,,,
35000395,7.6,7.5,9,4.25,-1,-1,-1,8,4.6,N1,,,,,,,,,,
35000396,5.8,-1,-1,-1,4.75,5.25,-1,4.5,-1,none,,,,,,,,,,
35000397,3.4,-1,-1,-1,4,4.75,6.75,7.25,3,N1,,,,,,,,,,
35000398,7,-1,-1,-1,7.25,8.75,8,6.5,5,N1,,,,,,,,,,
35000399,7.4,-1,-1,-1,6.5,7,8.75,7,4.6,N1,,,,,,,,,,
35000400,7.4,8.75,8.5,5,-1,-1,-1,5.5,5,N1,,,,,,,,,,
35000401,8,-1,-1,-1,6.5,6,8.25,5.5,5.4,N1,,,,,,,,,,
35000402,6.2,-1,-1,-1,6.25,7.75,-1,6,-1,none,,,,,,,,,,
35000403,5.8,3.5,6.25,5,-1,-1,-1,7.25,3.4,N1,,,,,,,,,,
35000404,7.6,-1,-1,-1,5.5,6.75,8.75,8.75,7.2,N1,,,,,,,,,,
35000405,7.6,7,6.5,3.75,-1,-1,-1,7,5.6,N1,,,,,,,,,,
35000406,7.8,-1,-1,-1,5,6.25,8,8.25,7,N1,,,,,,,,,,
35000407,7.2,-1,-1,-1,5.25,4.75,8,8,8.2,N1,,,,,,,,,,
35000408,8.6,-1,-1,-1,6.25,7,8.75,9.25,8.6,N1,,,,,,,,,,
35000409,7.6,-1,-1,-1,6.5,6.75,8.25,7.75,8.6,N1,,,,,,,,,,
35000410,8.8,9.5,8.25,6,-1,-1,-1,8.75,9,N1,,,,,,,,,,
35000411,2,-1,-1,-1,8,7.5,6.5,6.75,2.8,N1,,,,,,,,,,
35000412,6.6,-1,-1,-1,5.75,6.75,8.75,6.25,6.2,N1,,,,,,,,,,
35000413,5.6,-1,-1,-1,5.75,4.75,7.25,7.5,3.6,N1,,,,,,,,,,
35000414,6.6,-1,-1,-1,5.25,6.25,7.75,6.5,5.8,N1,,,,,,,,,,
35000415,6.6,-1,-1,-1,5.5,5.75,7.25,7.5,4.8,N1,,,,,,,,,,
35000416,5.2,-1,-1,-1,6.5,6,6.5,7.25,6.4,N1,,,,,,,,,,
35000417,7.4,-1,-1,-1,4.25,7,7.75,7.5,3.8,N1,,,,,,,,,,
35000418,6.6,-1,-1,-1,6.5,6.75,6.75,7,5.4,N1,,,,,,,,,,
35000419,7,-1,-1,-1,6,7.75,7.25,7.25,2.2,N1,,,,,,,,,,
35000420,8.2,5.75,5.75,4,-1,-1,-1,6.25,6.4,N1,,,,,,,,,,
35000421,8,7.25,7.25,4.25,-1,-1,-1,5,5,N1,,,,,,,,,,
35000422,8.4,8.25,9,4.75,-1,-1,-1,5.75,3.2,N1,,,,,,,,,,
35000423,8.4,6.25,6,3.75,-1,-1,-1,6,3.6,N1,,,,,,,,,,
35000424,4.4,-1,-1,-1,1.75,5.5,6.75,5.25,4.4,N1,,,,,,,,,,
35000425,5.2,-1,-1,-1,3,4.75,-1,5,-1,none,,,,,,,,,,
35000426,8,8,8.75,3.5,-1,-1,-1,3.75,2,N1,,,,,,,,,,
35000427,7,-1,-1,-1,4.5,7.5,7.5,8.25,6.6,N1,,,,,,,,,,
35000428,7.6,4.75,8.25,4,-1,-1,-1,4.75,7,N1,,,,,,,,,,
35000429,8.2,7.5,9,3.25,-1,-1,-1,5,5.6,N1,,,,,,,,,,
35000430,5.2,-1,-1,-1,4.5,4.25,6.25,6.25,3,N1,,,,,,,,,,
35000431,6.2,5,5,3.25,-1,-1,-1,5.25,3.4,N1,,,,,,,,,,
35000432,5.8,-1,-1,-1,5,6.5,8.75,7.25,5,N1,,,,,,,,,,
35000433,8.2,7.25,7,3,-1,-1,-1,4.75,2.8,N1,,,,,,,,,,
35000434,6.6,-1,-1,-1,5.25,8,6.5,6.75,3.2,N1,,,,,,,,,,
35000435,7.8,7.25,7.75,5.5,-1,-1,-1,6.75,6.8,N1,,,,,,,,,,
35000436,6.8,7.75,2.5,3.75,-1,-1,-1,5.5,6.4,N1,,,,,,,,,,
35000437,8.2,7.5,7.75,3.75,-1,-1,-1,5.25,4.2,N1,,,,,,,,,,
35000438,8.2,-1,-1,-1,5.75,6.5,8.25,7,7.4,N1,,,,,,,,,,
35000439,7.6,6.5,6.75,4.25,-1,-1,-1,4.75,5.8,N1,,,,,,,,,,
35000440,5.6,-1,-1,-1,8,9,-1,6.75,-1,none,,,,,,,,,,
35000441,5.4,-1,-1,-1,3.5,6.25,7.75,5,3.2,N1,,,,,,,,,,
35000442,7.8,7.75,8.5,1.5,-1,-1,-1,5,1.6,N1,,,,,,,,,,
35000443,1.8,-1,-1,-1,4.25,3.5,-1,1.25,-1,none,,,,,,,,,,
35000444,8.8,3.75,8,6.75,-1,-1,-1,6.75,3.2,N1,,,,,,,,,,
35000445,4.6,-1,-1,-1,6.25,7.25,-1,7,-1,none,,,,,,,,,,
35000446,5.2,-1,-1,-1,4.75,4.5,6.25,7.25,3,N1,,,,,,,,,,
35000447,4.6,-1,-1,-1,3.25,4.75,6,6.5,4.4,N1,,,,,,,,,,
35000448,7.2,5.5,6.5,3.75,-1,-1,-1,4.5,3.4,N1,,,,,,,,,,
35000449,8,-1,-1,-1,6,7.5,8.5,8,7,N1,,,,,,,,,,
35000450,2.6,-1,-1,-1,2.5,3.5,-1,3.5,-1,none,,,,,,,,,,
35000451,7.2,-1,-1,-1,6.5,7.25,7.25,9,7.8,N1,,,,,,,,,,
35000452,2.6,-1,-1,-1,8,6.5,-1,6.25,-1,none,,,,,,,,,,
35000453,6.6,-1,-1,-1,6,7,7.5,6.5,2.2,N1,,,,,,,,,,
35000454,8,7,8,2.5,-1,-1,-1,6.5,4.2,N1,,,,,,,,,,
35000455,8.4,7.5,8.25,4,-1,-1,-1,7.5,4.6,N1,,,,,,,,,,
35000456,5.8,-1,-1,-1,7.75,7,7.5,9,2.4,N1,,,,,,,,,,
35000457,7.2,-1,-1,-1,4.5,4.75,7,7.5,4.6,N1,,,,,,,,,,
35000458,5,-1,-1,-1,5.5,5.5,-1,4.5,-1,none,,,,,,,,,,
35000459,8,7,7,3.5,-1,-1,-1,5.75,3.2,N1,,,,,,,,,,
35000460,7,-1,-1,-1,6,6.25,7.5,7,3.4,N1,,,,,,,,,,
35000461,7.4,7,6,5,-1,-1,-1,5.5,4,N1,,,,,,,,,,
35000462,7.2,-1,-1,-1,7.5,6,9.5,6,2.6,N1,,,,,,,,,,
35000463,6.2,-1,-1,-1,4.75,6.75,8,7.5,4.4,N1,,,,,,,,,,
35000464,7.8,7.75,8,4.25,-1,-1,-1,7.75,4.4,N1,,,,,,,,,,
35000465,7,-1,-1,-1,4.25,6.5,8.5,5.5,5,N1,,,,,,,,,,
35000466,6.6,5,6,5,-1,-1,-1,5.75,2.4,N1,,,,,,,,,,
35000467,5.6,-1,-1,-1,4.75,6.5,-1,4.5,-1,none,,,,,,,,,,
35000468,7.8,7.25,7.75,4.5,-1,-1,-1,6.75,4,N1,,,,,,,,,,
35000469,7,7.5,7,3,-1,-1,-1,6.75,2.8,N1,,,,,,,,,,
35000470,8.2,9,8,3.75,-1,-1,-1,7.25,5.2,N1,,,,,,,,,,
35000471,6.6,3.75,4.25,3.25,-1,-1,-1,6,4.4,N1,,,,,,,,,,
35000472,7,-1,-1,-1,6.5,6.25,-1,6.25,-1,none,,,,,,,,,,
35000473,6.8,-1,-1,-1,6.5,7.5,8,5.5,2.4,N1,,,,,,,,,,
35000474,7,6.5,6.5,2.75,-1,-1,-1,5.75,5.6,N1,,,,,,,,,,
35000475,8.4,7,8,5,-1,-1,-1,6.5,4.4,N1,,,,,,,,,,
35000476,7.2,-1,-1,-1,7,7.25,8,7,3.8,N1,,,,,,,,,,
35000477,5.6,-1,-1,-1,5.25,7,6.75,7.5,4.2,N1,,,,,,,,,,
35000478,3,-1,-1,-1,4.25,4,-1,4.5,-1,none,,,,,,,,,,
35000479,8.2,6.5,7,3.25,-1,-1,-1,5,3.8,N1,,,,,,,,,,
35000480,8,-1,-1,-1,8.75,8.25,-1,4.75,-1,none,,,,,,,,,,
35000481,6.6,6.5,7.75,3.5,-1,-1,-1,7,3.2,N1,,,,,,,,,,
35000482,4.2,-1,-1,-1,3.5,3.75,-1,5,-1,none,,,,,,,,,,
35000483,8.4,9.25,7,7.5,-1,-1,-1,7.5,9.4,N1,,,,,,,,,,
35000484,8.8,7.5,7,4,-1,-1,-1,8,5.6,N1,,,,,,,,,,
35000485,6.2,4.5,4,3,-1,-1,-1,6,2.4,N1,,,,,,,,,,
35000486,8.2,-1,-1,-1,5.25,7,8.25,8.5,8.4,N1,,,,,,,,,,
35000487,6,-1,-1,-1,5.5,5.5,8,6.5,4.2,N1,,,,,,,,,,
35000488,6.6,-1,-1,-1,4,3.75,-1,4,-1,none,,,,,,,,,,
35000489,7.8,-1,-1,-1,5,6.25,7.25,7.5,7,N1,,,,,,,,,,
35000490,3,-1,-1,-1,7.5,8,7.25,5.5,5.8,N1,,,,,,,,,,
35000491,7.8,7.5,8.5,4.5,-1,-1,-1,5.5,6,N1,,,,,,,,,,
35000492,6.8,-1,-1,-1,4.75,5.5,6.5,6.75,3.6,N1,,,,,,,,,,
35000493,8.4,6.5,9,7.5,-1,-1,-1,6.25,6.4,N1,,,,,,,,,,
35000494,3.4,-1,-1,-1,7.25,7.75,-1,7,-1,none,,,,,,,,,,
35000495,7.8,6.75,7.75,4,-1,-1,-1,6,4.4,N1,,,,,,,,,,
35000496,6.2,-1,-1,-1,4,5.25,5.75,7.25,3.4,N1,,,,,,,,,,
35000497,8,7.25,7.25,4,-1,-1,-1,5.75,4,N1,,,,,,,,,,
35000498,6,3.75,5.5,4.5,-1,-1,-1,4.75,3.8,N1,,,,,,,,,,
35000499,5.4,-1,-1,-1,9.75,9.25,8.25,7.25,5.2,N1,,,,,,,,,,
35000500,3.2,-1,-1,-1,2,5,5.25,3.75,2,N1,,,,,,,,,,
35000501,6,-1,-1,-1,5.25,7.75,7.75,7.75,4.2,N1,,,,,,,,,,
35000502,6.4,6.25,6.75,4,-1,-1,-1,7,4,N1,,,,,,,,,,
35000503,6.8,-1,-1,-1,7.5,7.25,7.5,5.5,2,N1,,,,,,,,,,
35000504,6.6,-1,-1,-1,4.75,4.75,6,5.5,4.6,N1,,,,,,,,,,
35000505,2.8,-1,-1,-1,3.5,5.75,7,4.5,3.2,N1,,,,,,,,,,
35000506,6.6,6.75,5.25,2.75,-1,-1,-1,5.5,5.8,N1,,,,,,,,,,
35000507,5.2,-1,-1,-1,3.25,5.75,6.25,2.5,3,N1,,,,,,,,,,
35000508,8.2,6.25,8.75,4.5,-1,-1,-1,6.25,3.8,N1,,,,,,,,,,
35000509,5,4.5,6.25,4,-1,-1,-1,6,3.4,N1,,,,,,,,,,
35000510,3.4,-1,-1,-1,5,4.5,7.25,5.5,3.4,N1,,,,,,,,,,
35000511,6,-1,-1,-1,2,5.75,7.5,5.5,3.2,N1,,,,,,,,,,
35000512,7.8,7.25,7.75,5.25,-1,-1,-1,7.5,5.4,N1,,,,,,,,,,
35000513,5.8,-1,-1,-1,5.5,6.75,4.5,4.5,4,N1,,,,,,,,,,
35000514,6.6,-1,-1,-1,5,6.25,6.75,7.25,4.8,N1,,,,,,,,,,
35000515,6.8,4.5,4.5,4.25,-1,-1,-1,4.75,4.6,N1,,,,,,,,,,
35000516,4.4,-1,-1,-1,3.75,6.25,7.75,5.25,3.6,N1,,,,,,,,,,
35000517,6.8,6.25,5,4.75,-1,-1,-1,6.5,3.8,N1,,,,,,,,,,
35000518,7,-1,-1,-1,4,7,6,7,5,N1,,,,,,,,,,
35000519,4,-1,-1,-1,4.75,7.5,8,6.75,3.4,N1,,,,,,,,,,
35000520,3.8,-1,-1,-1,4,5.25,6,7,3.2,N1,,,,,,,,,,
35000521,5.2,-1,-1,-1,3.5,5.25,5.5,5.75,4.2,N1,,,,,,,,,,
35000522,3.6,-1,-1,-1,5.5,6.25,4.5,4,4.2,N1,,,,,,,,,,
35000523,4.8,-1,-1,-1,7.75,6.5,7.5,6.75,3.4,N1,,,,,,,,,,
35000524,5,-1,-1,-1,4,6.25,7.5,5,4,N1,,,,,,,,,,
35000525,6.4,5.25,5.25,3,-1,-1,-1,7.25,3.8,N1,,,,,,,,,,
35000526,6.6,-1,-1,-1,6.25,7,7.75,5.3,4.6,N1,,,,,,,,,,
35000527,4,-1,-1,-1,5.5,5.75,6.75,6.5,6.2,N1,,,,,,,,,,
35000528,3.2,-1,-1,-1,3,5.75,6.75,4.5,4.6,N1,,,,,,,,,,
35000529,4,-1,-1,-1,5,6.5,6.75,7,3.2,N1,,,,,,,,,,
35000530,5.2,-1,-1,-1,6,7,6.75,7,4.6,N1,,,,,,,,,,
35000531,6.2,7.5,7,3.25,-1,-1,-1,7,5,N1,,,,,,,,,,
35000532,7.6,7.5,6.5,3.75,-1,-1,-1,7.75,5.4,N1,,,,,,,,,,
35000533,7.2,-1,-1,-1,5.75,6.75,7.5,5,4.6,N1,,,,,,,,,,
35000534,8,7,7.75,4.5,-1,-1,-1,5.75,3.4,N1,,,,,,,,,,
35000535,4.2,4.25,5,4.5,-1,-1,-1,4.5,3,N1,,,,,,,,,,
35000536,6,-1,-1,-1,3.75,5.25,7.5,5.75,3,N1,,,,,,,,,,
35000537,5.4,-1,-1,-1,4,5,7.75,5,6.2,N1,,,,,,,,,,
35000538,6,-1,-1,-1,6.75,6.25,8.25,8,5.8,N1,,,,,,,,,,
35000539,7.2,8,7.75,5.25,-1,-1,-1,7.25,5.2,N1,,,,,,,,,,
35000540,5.2,-1,-1,-1,6.25,5.5,6,7,4.8,N1,,,,,,,,,,
35000541,7.8,7,7.5,3.5,-1,-1,-1,6.25,3.6,N1,,,,,,,,,,
35000542,6.8,-1,-1,-1,3.5,7.25,8,7.25,4.2,N1,,,,,,,,,,
35000543,6.4,-1,-1,-1,6.25,7.5,8.25,8,4.4,N1,,,,,,,,,,
35000544,6.8,5.25,4.5,3.25,-1,-1,-1,7.25,3.4,N1,,,,,,,,,,
35000545,5,-1,-1,-1,3.5,5.5,7,7.5,4.6,N1,,,,,,,,,,
35000546,4.8,-1,-1,-1,7,6.5,7,5.5,4.2,N1,,,,,,,,,,
35000547,5.6,-1,-1,-1,6.75,6,8,6,3.2,N1,,,,,,,,,,
35000548,5.8,5.5,4.75,5.25,-1,-1,-1,5.7,3.2,N1,,,,,,,,,,
35000549,4.6,-1,-1,-1,3.75,6.25,6.75,5.75,3,N1,,,,,,,,,,
35000550,5.4,-1,-1,-1,6.5,7,7.5,4.75,3.8,N1,,,,,,,,,,
35000551,6,-1,-1,-1,5.75,5.5,5,5,4.6,N1,,,,,,,,,,
35000552,5.4,5.25,6.5,5,-1,-1,-1,5.5,5.2,N1,,,,,,,,,,
35000553,5,-1,-1,-1,2.5,4.75,7.75,5,3.8,N1,,,,,,,,,,
35000554,5,-1,-1,-1,6,6.75,5.75,4,3.6,N1,,,,,,,,,,
35000555,4.2,4.75,6,3.25,-1,-1,-1,5.5,4.2,N1,,,,,,,,,,
35000556,6,-1,-1,-1,8,8,8,7.25,4.8,N1,,,,,,,,,,
35000557,4.8,-1,-1,-1,6.25,5.75,7,5,4.2,N1,,,,,,,,,,
35000558,2.2,-1,-1,-1,4.5,6,6.75,6.5,2.8,N1,,,,,,,,,,
35000559,7,6.75,6.75,8,-1,-1,-1,7.25,5,N1,,,,,,,,,,
35000560,5.8,-1,-1,-1,6.25,8,8,6.5,3.8,N1,,,,,,,,,,
35000561,5.6,-1,-1,-1,5,5.5,6.75,6.5,3.4,N1,,,,,,,,,,
35000562,4.4,-1,-1,-1,5.5,6.25,6.75,6.75,2.6,N1,,,,,,,,,,
35000563,5.8,-1,-1,-1,4.25,7.25,6.75,6.25,3.2,N1,,,,,,,,,,
35000564,5.6,-1,-1,-1,5,5.5,7.75,6,5,N1,,,,,,,,,,
35000565,8.2,6.25,7.25,4.75,-1,-1,-1,5.5,5.2,N1,,,,,,,,,,
35000566,3.8,-1,-1,-1,4.75,5.75,6.25,5.5,3.4,N1,,,,,,,,,,
35000567,7.2,6.75,6,2.5,-1,-1,-1,5.75,3.6,N1,,,,,,,,,,
35000568,6.4,5.25,5.5,6,-1,-1,-1,6.25,4.2,N1,,,,,,,,,,
35000569,4.6,-1,-1,-1,4.5,6.5,8.5,6,4,N1,,,,,,,,,,
35000570,6,-1,-1,-1,5.5,6.75,7,6.75,5.2,N1,,,,,,,,,,
35000571,5.6,-1,-1,-1,5.25,6.75,7.5,5.5,3.8,N1,,,,,,,,,,
35000572,7.2,5.5,6.25,3,-1,-1,-1,6,3.4,N1,,,,,,,,,,
35000573,4.4,-1,-1,-1,4,6.5,7.5,8.75,6,N1,,,,,,,,,,
35000574,5.2,-1,-1,-1,7.5,7.5,8.25,6.25,4.8,N1,,,,,,,,,,
35000575,8.2,-1,-1,-1,7,7.75,9.25,8.25,6.4,N1,,,,,,,,,,
35000576,7.6,7.25,5,4.5,-1,-1,-1,8.25,5.4,N1,,,,,,,,,,
35000577,5.4,-1,-1,-1,3.25,6.5,7.25,5.25,4.6,N1,,,,,,,,,,
35000578,3.8,-1,-1,-1,5.25,6.75,7,7.25,4.8,N1,,,,,,,,,,
35000579,5.2,-1,-1,-1,2.25,5,6.5,6,4,N1,,,,,,,,,,
35000580,5.6,4.75,7.25,4,-1,-1,-1,5.5,4.4,N1,,,,,,,,,,
35000581,6.6,5.75,6.25,5.25,-1,-1,-1,6,5.2,N1,,,,,,,,,,
35000582,5,-1,-1,-1,2.75,5.75,5.75,4.5,2.8,N1,,,,,,,,,,
35000583,7.6,7,7,4.75,-1,-1,-1,5.75,4.8,N1,,,,,,,,,,
35000584,5.6,-1,-1,-1,5.75,5.75,7.75,7.25,3,N1,,,,,,,,,,
